amount,currency
4246.218670010793,CNY
7304.97501745816,AMD
124.55209963862941,QAR
1267.9865747251886,MUR
5829.70333360968,CDF
2256.115514422031,TRY
5579.755820763456,NAD
3838.4387210812165,RSD
608.6854920492341,XPD
2729.697387106685,SRD
4066.6605560978483,SOS
4517.304300341071,XPF
6239.59696907932,KGS
4247.765128325475,PEN
766.5576581536054,SSP
5540.372965238489,SRD
5483.081132049994,FJD
571.408430098733,FKP
462.0176495144627,CRC
4633.21633282909,DKK
790.6533022493658,MWK
1725.9988560293896,GIP
3448.151214354438,HTG
481.48992617560094,BYN
2121.0267513208105,SZL
3158.7321205730655,AUD
6326.986955618471,CVE
2847.224752055276,LKR
6343.8324100440595,KWD
1083.8952128039368,PKR
2781.123854006705,CNH
3197.114785414638,TMT
1915.962541720344,AFN
4218.686278441746,MDL
6779.969784633168,IQD
1293.2652907763359,VND
2313.9261143943454,GHS
847.5128042162604,CNH
2730.1824004251075,SOS
5663.3234126918815,DOP
883.2384774916196,BHD
7417.62853480408,FJD
6173.290764507795,JPY
1304.0489012214568,GYD
2967.957981408282,RWF
1725.8104574944098,AOA
7636.476617327152,RSD
4951.1708331782775,BTC
4639.594367156162,XPF
1734.2437630309996,TJS
1207.7187700636428,LSL
1904.0016790149998,EUR
5671.38940420164,FKP
378.57740486994925,MWK
4341.108261786047,TRY
2539.459190347749,KPW
6403.86139785803,EGP
5638.082842592321,GGP
1762.7105307724298,CRC
6891.40540779369,JOD
2518.9010770392683,MWK
925.8991185748711,HTG
3897.4823870315367,SDG
7364.28040694587,NAD
2870.1135848188155,BGN
6043.89871103159,BMD
3298.3305536405537,CHF
438.04261073571627,CRC
1168.0116804249126,HNL
2707.092814901697,MNT
1934.5926313592997,GHS
2966.368841620933,BRL
499.4652957587102,BSD
7317.654320929637,ISK
6880.22013077913,XAG
4888.3133472076015,PKR
1883.8993752776228,USD
4427.434613668227,MXN
2436.3761704777157,STN
6487.056289886887,LRD
180.4821659746872,EUR
3669.338477255474,COP
2401.369450235872,GIP
585.7879722864304,MZN
1387.5802082497185,CUP
2253.7876538934293,CVE
3766.7030732456524,FJD
